title,description,street,city,state,postal_code,country,lat,lng,phone,fax,email,website,marker_id,is_disabled,open_hours,brand,special,lang,logo_name,categories,order,schedule_appointment,more_info
<a href='/clinics/tx/spring/wellness-center/'>The Wellness Way - Spring</a>,,8110 Spring Cypress Rd.,Spring,TX,77379,United States,30.041444,-95.54582,(832) 761-7109,,spring@thewellnessway.com,,151,0,,,,,,TX,0,/clinics/tx/spring/wellness-center/#schedule,/clinics/tx/spring/wellness-center/
<a href='/clinics/mo/seymour/wellness-center/'>Functional Chiropractic & Wellness Center of the Ozarks - Affiliate of The Wellness Way</a>,,213 West Washington St.,Seymour,MO,65746,United States,37.146162,-92.769653,(417) 935-2471,,seymour@thewellnessway.com,,151,0,,,,,,MO,0,/clinics/mo/seymour/wellness-center/#schedule,/clinics/mo/seymour/wellness-center/
<a href='/clinics/il/aurora/wellness-center/'>De La Cruz Chiropractic - Affiliate of The Wellness Way</a>,,57 S Lincoln Ave,Aurora,IL,60505,United States,41.75527,-88.309507,(630) 264-8004,,aurora@thewellnessway.com,,151,0,,,,,,IL,0,/clinics/il/aurora/wellness-center/#schedule,/clinics/il/aurora/wellness-center/
<a href='/clinics/az/northphoenix/wellness-center/'>The Wellness Way - North Phoenix</a>,,"34406 N. 27th Dr., Unit 139",North Phoenix,AZ,85085,United States,33.797187,-112.119441,(623) 440-8491,,northphoenix@thewellnessway.com,,151,0,,,,,,AZ,0,/clinics/az/northphoenix/wellness-center/#schedule,/clinics/az/northphoenix/wellness-center/
<a href='/clinics/ie-g/galway/wellness-center/'>Discover Chiropractic - Affiliate of The Wellness Way</a>,,"12B, Liosban Business Park",Galway,IE-G,,Ireland,53.287281,-9.032392,35391764052,,galwayie@thewellnessway.com,,151,0,,,,,,IE-G,0,/clinics/ie-g/galway/wellness-center/#schedule,/clinics/ie-g/galway/wellness-center/
<a href='/clinics/wi/greenbay/wellness-center/'>The Wellness Way - Green Bay</a>,,2525 W. Mason St.,Green Bay,WI,54303,United States,44.52340031,-88.09606283,(920) 429-2844,(920) 429-2845,greenbay@thewellnessway.com,,151,0,,,,,,WI,0,/clinics/wi/greenbay/wellness-center/#schedule,/clinics/wi/greenbay/wellness-center/
<a href='/clinics/wi/appleton/wellness-center/'>The Wellness Way - Appleton</a>,,2021 S. Oneida St.,Appleton,WI,54915,United States,44.243086,-88.404174,(920) 733-3371,,appleton@twwclinics.com,,151,0,,,,,,WI,0,/clinics/wi/appleton/wellness-center/#schedule,/clinics/wi/appleton/wellness-center/
<a href='/clinics/wi/thiensville/wellness-center/'>The Wellness Way - Mequon</a>,,"122 Green Bay Rd., Suite 100",Thiensville,WI,53092,United States,43.230587,-87.982964,(262) 478-9104,,mequon@twwclinics.com,,151,0,,,,,,WI,0,/clinics/wi/thiensville/wellness-center/#schedule,/clinics/wi/thiensville/wellness-center/
<a href='/clinics/wi/pewaukee/wellness-center/'>The Wellness Way - Waukesha</a>,,"1300 Capital Drive, Unit E",Pewaukee,WI,53072,United States,43.083284,-88.232656,(262) 650-0701,,waukesha@thewellnessway.com,,151,0,,,,,,WI,0,/clinics/wi/pewaukee/wellness-center/#schedule,/clinics/wi/pewaukee/wellness-center/
<a href='/clinics/mt/kalispell/wellness-center/'>The Wellness Way - Flathead Valley</a>,,450 Corporate Drive Suite 108,Kalispell,MT,59901,United States,48.19960386,-114.3403246,(406) 755-3014,,flatheadvalley@thewellnessway.com,,151,0,,,,,,MT,0,/clinics/mt/kalispell/wellness-center/#schedule,/clinics/mt/kalispell/wellness-center/
<a href='/clinics/wi/fonddulac/wellness-center/'>Dynamic Chiropractic & Wellness Center - Affiliate of The Wellness Way</a>,,952 S. Park Ave,Fond du Lac,WI,54935,United States,43.752922,-88.440652,(920) 921-9100,,dynamic@twwclinics.com,,151,0,,,,,,WI,0,/clinics/wi/fonddulac/wellness-center/#schedule,/clinics/wi/fonddulac/wellness-center/
<a href='/clinics/mi/ironmountain/wellness-center/'>The Wellness Way - Iron Mountain</a>,,600 Carpenter Ave,Iron Mountain,MI,49801,United States,45.818454,-88.065118,(906) 828-1384,,ironmountain@thewellnessway.com,,151,0,,,,,,MI,0,/clinics/mi/ironmountain/wellness-center/#schedule,/clinics/mi/ironmountain/wellness-center/
<a href='/clinics/al/springville/wellness-center/'>Triune Chiropractic - Affiliate of The Wellness Way</a>,,57 Robinson St.,Springville,AL,35146,United States,33.778095,-86.475024,(205) 467-2500,,springville@twwclinics.com,,151,0,,,,,,AL,0,/clinics/al/springville/wellness-center/#schedule,/clinics/al/springville/wellness-center/
